id;lineup
2376041;"Solomun; Mind Against; Butch; VANROOSE"
2386758;"Solomun; Chloé Caillet"
2386759;"Solomun; Idris Elba"
2386761;Solomun
2400951;"Amaliah; Bushbaby; Call Super; Chloé Caillet; Danielle; Francesco Del Garda; HALFPINT; Lu.Re; Luciano; Nyra"
2329350;"Armin van Buuren; Beatrice M.; Dean Bryce; Diplo; Busy P; Tatyana Jane; Disclosure; DRUMS AND CHANTS; DYEN; Enrico Sangiuliano"
2386763;"Solomun; Skrillex"
2386767;"Solomun; Jamie xx"
2386769;"Solomun; Peggy Gou"
2229702;"Chris Stussy; Mochakk; David Löhlein; Dennis Cruz; Joseph Capriati; DJ Gigola; DJ Hyperdrive; Gerd Janson; I Hate Models; KUKO"
2386771;"Solomun; Anyma"
2378244;"Solomun; Michael Bibi; Chris Stussy; Patrischa; Daughter In Law"
2386772;"Solomun; Dixon"
2386774;Solomun
2386776;"Solomun; DJ Gigola"
2375358;"Anyma; Solomun; Son of Son; Henri Bergmann"
2386777;"Solomun; Max Styler"
2353196;"2ManyDJs; Alinka; Amaliah; Anish Kumar; ATRIP; BASHKKA; BELLA (NL); Ben UFO; Big Ang; Bradley Zero"
2386779;"Solomun; Barry Can't Swim"
2386780;Solomun
2395557;"Bicep; Theo Parrish; Daphni; Skee Mask; Smerz; Avalon Emerson; Octo Octa; Eris Drew; Marcel Dettmann; Sandwell District"
2407367;"Four Tet; Loukeman; DJ Frog"
2323058;"Four Tet; Aurora Halal; Barker; Ben UFO; Gilles Peterson; Sofia Kourtesis"
2292225;"Skrillex; Four Tet; Faithless; Scooter; Shaggy; EVE (1); 999999999; Antony Szmierek; Brutalismus 3000; Camo & Krooked"
2442421;"The xx; Moby; Dijon; Blood Orange; Lykke Li; DJ Koze; Terra; Four Tet; Oklou; MC Yallah"
2420835;Four Tet
2461250;"Airwolf Paradise; Azzecca; Baby J; Bassvictim; Beltran; Ben Sterling; Ben UFO; Channel Tres; Clearcast; Daphni"
2391434;"Skrillex; The Blessed Madonna; Four Tet; Dom Dolla; KETTAMA; Seth Troxler"
2428241;"Adam Port; Beltran; Ben Sterling; Four Tet; horsegiirL; Kelela; KI/KI; PAWSA; Tokischa; Tricky"
2391964;"Kolsch; Alyssa & Gia; Carl Bergé; Joëlla Jackson; JANE RYSE; KIRSCH"
2365299;"Dombresky; DREYA; Kolsch; Wade"
2292304;"CamelPhat; Rødhåd; MARRØN; Adam Ten; Kolsch; Ben Sims; Ogazón; Dyed Soundorom; Adriana Ruas; Catarina Silva"
2426726;"Kolsch; Ashibah; Kariina; SKAI (LT); Desaint (DK); Ena Cosovic"
2416757;"2HOT2PLAY; 3LEEZA; HANÀ; 999999999; A.N.I.; Adam Beyer; Adrian Mills; AKA AKA; Alfred Heinrichs; Alicia Hahn"
2412317;"Deco (BE); Mahmut Orhan; Hugel; Shimza; Mall Grab; Indira Paganotto; Hardwell; Kolsch; Miss Monique; Nicky Romero"
2354081;"Deer Jade; Eridu; Greg S; Helsloot; IOSIO; Julian Fijma; Kolsch; Lusago; MALUGI; Manillo"
2404373;"Kolsch; Klangphonics; Tonic Walter; Marek Hemmann; Anthony Rother; Kid Simius; Gregor Tresher; Karotte; Thomas Lizzara; Kaiserdisco"
2302716;"AAT (NL); Adam Ten; Alarico; Alexia Glensy; Ammé; Argia; ATRIP; Bart Skils; Bastienne; Ben Klock"
2431451;"Kolsch; Denes Toth"
2370306;"Kolsch; Gorgon City; Paco Osuna; The Menendez Brothers; Raul Rodriguez"
2442229;"Kolsch; Viken Arman; Kiriku"
2426743;"Andhim; Agoria; Friction; Kolsch; Mind Against; T & Sugah; tnt (1); The Prototypes; Vieze Asbak; Vortek's"
2367184;"Francis Mercier; Kolsch; Patrick Mason; KILIMANJARO; Bantu; Andrea Oliva; HoneyLuv; Cincity"
2431471;"Argy; Miss Monique; Kolsch"
2365334;"De La Swing; Kolsch; Joris Voorn; Rendher"
2370928;"Monolink; Be Svendsen; Deer Jade; Kitty Amor; Ben Böhmer; Sarah Andersson; EmblaEliza; Layer J; Moontalk"
2369436;"Anyma; Mind Against; Ben Böhmer; Woo York; 8KAYS; Kasia (OFC); Stylo"
2455800;"Ben Böhmer; Jan Blomqvist; Bloem; unders; Nasiri; Words of Niō"
2398177;Ben Böhmer
2407072;"Zelev (CH); Chami; DJ Nobu; Madame Roche; Daughter In Law; LP Giobbi; AUBE; Melanie Havens; Richelle Soigni; Daniel Monaco"
2381872;"Ben Böhmer; Rezident"
2327122;"2HOT2PLAY; A.N.I.; Basswell; Onlynumbers; Ben Böhmer; CamelPhat; Charlie Sparks; Cleopard2000; Trancemaster Krause; Deborah De Luca"
2442183;"Super Flu; Luca Saporito (Audiofly)"
2415331;"Super Flu; Don Cabron; GALAGO (BE); Jaxter"
2437317;"Andhim; BARON (FR); Bontan; HotLap; Julia Linkogel; Marten Lou; Solah; Super Flu; Alci; bergmans"
2401380;Super Flu
2442240;"Jan Blomqvist; Christian Löffler; Deer Jade; Super Flu; Igor Marijuan; Isadora; Rayco Santos"
2439416;"Super Flu; Solee; Prismode; Solvane; Wanda Wild"
2426450;"Einmusik; Super Flu; Prismode; Solvane; Markus Klee; Malouna; Cris-H"
2428400;"Lexy & K-Paul; Super Flu; Prismode; Solvane; Markus Klee; Malouna"
2337646;"Antonym; Arman John; Bad Boombox; Cara Elizabeth; Clara Cuvé; Cloudy; Nikolina; David Löhlein; davyboi; Trancemaster Krause"
2453633;"Adrian Mills; ANOTR; CamelPhat; Dennis Cruz; Ilario Alicante; Jamback; Loco Dice; Marco Carola; Melanie Ribbe; Natalia Roth"
2319952;"Serafina; HUJUS; zwilling.; Fronsi; David Löhlein; Adrian Mills; Bárbara Lago; BIXBITA"
2359520;"Joseph Capriati; Max Dean; Sidney Charles; Karretero; Yanamaste; Serafina; Elisa Bee; MØSENGGE"
2312934;"999999999; AAT (NL); Adam Beyer; Adam Ten; Adiel; Adrian Mills; Adriatique; Akua; Henning Baer; Alan Fitzpatrick"
2303501;"Ben Techy; Cara Elizabeth; Clara Cuvé; DANIQUE; davyboi; Divasi; Fantasm; Johannes Schuster; KARAH; KLOFAMA"
2329705;"Argy; Armin van Buuren; Axwell; The Chainsmokers; Charlotte de Witte; Don Diablo; Felix Jaehn; FISHER; R3hab; Scooter"
2359523;"Joseph Capriati; Max Dean; Patrick Topping; Salomé Le Chat; Us Two; Yanamaste; Alarico; Serafina; CESAR ALMENA"
2441249;"999999999; Somewhen; Serafina; CALLUSH"
2329592;"Adrian Mills; Cloudy; Alarico; SHDW; Amelie Lens; AMORAL; Rene Wise; ATRIP; STÜM; Bad Boombox"
2359528;"Joseph Capriati; Cloonee; Traumer; Amedeo Picone; Ben Klock; Alarico; Serafina; Antonio Pepe"
2408194;"1991 (UK); 909 RACING TEAM; Aaron Hibell; A.N.I.; Adrian Mills; AKKI (DE); Alba Franch; Alignment; Andromedik; Anna Reusch"
2390938;"999999999; Adrian Mills; fumi (DE); Serafina; Matroda; ANNA; Traumer; Anyma; Azzecca; Bad Boombox"
2427523;"Adrian Mills; Aiden (DE); Bad Boombox; Clara Cuvé; Cloudy; Conrad Taylor; Dalton Taylor; David Löhlein; Daybreak; Diossa"
2430142;"Serafina; zwilling.; WILDERÍCH; ANXHELA; BYØRN; AMMARA; Part Time Killer; EMILIJA; JOKESONYOU; Mon Franco"
2445692;"Serafina; zwilling.; WILDERÍCH; ANXHELA; AMMARA; Part Time Killer; EMILIJA; JOKESONYOU; Mon Franco; Shani"
2384560;Serafina
2408179;"Ellen Allien; Elli Acula; Gregor Tresher; Len Faki"
2264774;"A.M.C.; Âme; Trikk; ARODES; Bad Boombox; Ben Klock; Blazej Malinowski; Boys Noize; Breakage; MC GQ"
2325662;"Arman John; BIIANCO; David Löhlein; EMILIJA; Mija; Mischluft; Pegassi; Simone; Cera Khin; Daria Kolosova"
2361290;"Sven Vath; Richie Hawtin; Nina Kraviz; Len Faki; Dana Ruh; Mateo Dufour"
2372751;"ALI3N; Blue Hour; DJ TOOL; Kameliia; Len Faki; Matrixxman; nthng; Stephanie Sykes; Vincent Neumann; Carl Bergé"
2433765;"Alarico; AMORAL; Len Faki; Phase Fatale"
2316185;"999999999; &ME; Adrian Mills; Agents Of Time; Anetha; AVAION; Blasha & Allatt; Blck Mamba; Carlita; Cloudy"
2460158;"Len Faki; Alba Heidari"
2297652;"Kangding Ray; Gus Gus; Charlotte de Witte; Rødhåd; Rene Wise; Oscar Mulero; Josh Wink; Be Svendsen; Blawan; DJ Hell"
2377556;"The Orb; Actress; Ange Halliwell; Blawan; Calm; Colin Benders; DJ Food; Etienne Jaumet; Franco B; Ghost Dubs"
2440911;"Akua; Colin Benders; Estella Boersma; Stephanie Sykes"
2244322;".VRIL; Afra; Akua; Andy Martin; Anthony Linell; BASHKKA; Benjamin Damage; Call Super; Carlos Valdes; Convextion"
2446534;"Alarico; ANNĒ; Asarri; BIDOBEN; BLANKA; Caniche; Cleric; Colin Benders; Daria Kolosova; Dasha Rush"
2351984;"A Guy Called Gerald; Actress; Carl Craig; Al Wootton; Azu Tiwaline; Alex Wilcox; AMORAL; Aurora Halal; aya; Barker"
2458162;"Channel One; Colin Benders; Al Wootton; Azu Tiwaline; AMORAL; Aurora Halal; aya; Batu; Ben UFO; Brodinski"
2350920;"1morning; Regal86; AliA; Amalie; Andy Martin; Azo; Ben Klock; Bobbi Watson; Border One; Chlär"
2380229;"Acid Rebels; BORIS BOUNCE; Colin Benders; Esther Dune; Hashashin; JDMA; RUL3; slin"
2401620;"Colin Benders; Ada Kaleh"
2457970;"FENIM0RE; Beste Hira"
2436489;"Beste Hira; Decoder; Jesse G; MARRØN; Pink Concrete; Richard Akingbehin; Rødhåd; Ben Klock; Chloé; Edward"
2433761;"Stef Mendesidis; Beste Hira; JERM"
2429130;"Beste Hira; Pink Concrete; Victor (DE); Zeina"
2417850;"ALIS.; André Dancekowski; Angel D'lite; Beste Hira; Ellen Allien; fbi (1); Fasme; Main Phase; maša (SI); Sansibar"
2453385;"Kwartz; Beste Hira; Joton; SAINT SINNER"
2395156;"2THEMAX; aantz; Aaro (2); Aaron Blau; ābnamā; Acidnena; ADAM MUNNINGS; Alex Hawthorn; Alírio; AMORAL"
2449871;"abs8lute; Adlas; Aurora Halal; Blasha & Allatt; Kasper Marott; Tasha; Zisko; Beste Hira; Binh; Gerd Janson"
2444343;"James Holden; Surgeon; Kuniyuki; Satoshi Tomiie; DJ Sprinkles; Actress; Carl Craig; Beste Hira; Bitter Babe; Blasha & Allatt"
2348864;"Altinbas; Astrix; AVALON; Be Svendsen; Beste Hira; Blazej Malinowski; Spectribe; Caleesi; Sarah Kreis; D-Nox & Beckers"
2460456;"Alba Heidari; Beste Hira; Freddy K; Sons Of Hidden"
2408247;"Beste Hira; Koboyo; Carmen Electro; Obscure Shape; DJ SEXSTASY; Madman; Estella Boersma; Grace Dahl; Miguelito; MARRØN"
2367792;"Dom Dolla; Ewan McVicar"
2309886;"30drop; Addison Groove; Akua; Alba Franch; Amaliah; Pangaea; Amanda Mussi; Amelie Lens; ANNĒ; Arp Frique"
2367797;"Dom Dolla; Ewan McVicar; DJ Seinfeld; Ludmila Di Pasquale"
2367799;"Dom Dolla; Ewan McVicar; bullet tooth; Rio Tashan"
2403924;"FISHER; Dom Dolla; Mau P; MPH (1); Notion; Oppidan; Bambii; Borne (US); bullet tooth; Champion"
2403927;"FISHER; Mau P; Marlon Hoffstadt; Hedex; MPH (1); Nia Archives; Notion; Oppidan; TroyBoi; TSHA"
2367800;"Dom Dolla; Ewan McVicar; Special Request"
2367802;"Dom Dolla; Ewan McVicar; Ghoulish; Cody Currie"
2367803;"Dom Dolla; Ewan McVicar; Bradley Zero; Alinka"
2367826;"Dom Dolla; Ewan McVicar; Dan Shake; Tarzsa"
2367830;"Dom Dolla; Ewan McVicar; DART"
2353104;Dom Dolla
2367832;"Dom Dolla; Ewan McVicar; Chaos In The CBD; DJ Paulette"
2322876;"Florence And The Machine; ANNA; Antony Szmierek; BIIA; Cassia; Dijon; Dom Dolla; Indira Paganotto; JAZZY (2); Joris Voorn"
2367833;"Dom Dolla; Ewan McVicar; Sally C"
2367835;"Dom Dolla; Ewan McVicar; LAMMER; Cinthie"
2367837;"Dom Dolla; Ewan McVicar; Sasha; Spray"
2466189;"Charlotte de Witte; DJ Snake; Dom Dolla; Above & Beyond; Martin Garrix; Vintage Culture; I Hate Models; Miss Monique; &friends"
2301801;"Caribou; Soulwax; Honey Dijon; Groove Armada; Max Cooper; Moodymann; Claptone; 2ManyDJs; Kojaque; Christian Löffler"
2449038;"Moodymann; Lee Kelly; Ben Klock; Miss Kittin; Sunil Sharpe; Cailín"
2453341;"Moodymann; Nesta; Andrea Fiorito"
2324101;"AGELESS; Ben Sterling; Carl Craig; ERNO (US); Flo Real; Hiroko Yamamura; Jonny Rock; Krystal Klear; Matthew Dear; Mike Banks"
2448975;"Carl Craig; Mike Banks; Moodymann"
2375093;"Carl Craig; Flo Real; Moodymann; Ryan O Gorman"
2437940;"Moodymann; Eli Escobar; Disciple"
2356369;"A Guy Called Gerald; Alex Neri; Pancratio; Baby Rollén; BASHKKA; Ben UFO; Black Loops; Innocent Soul; Carl Craig; Moodymann"
2362445;"2fox; Aline Rocha; Arielle Free; Aroop Roy; Benji King; Blackchild; Breakbot; Irfane; Carl Craig; Cinthie"
2353227;"Daisybelle; Flight Facilities; Groove Armada; Honey Dijon; Derrick Carter; Moodymann; Carl Craig; Yasmin"
2446666;"Moodymann; Tom Kutsche; Willy Soul; Flo Real"
2398880;Moodymann
2403632;"Björk; Peggy Gou; Chloé Caillet; Daphni; Donato Dozzy; Floating Points; Honey Dijon; Job Jobse; Kelly Lee Owens; Moodymann"
2445998;"Overmono; James Blake; Joy Orbison; Aurora Halal; DR MYSTERY; Special Guest (US); Andy C; Moodymann; Blawan; DJ SET (Uk)"
2449860;"Young Marco; Samo; Lui (6); HIZAT; PIRANHA; Kasumisty; CLESENT"
2457933;"Young Marco; Mogwaa; NIMNOI; Yoel; Kyuchan"
2463687;"Erol Alkan; Optimo (Espacio); Chloé; INKASSO; Special Request; Young Marco; Anz"
2344354;"ANOTR; Young Marco; Alci; Dan Ghenacia; D'Julz; Julian Anthony; Mateo Dufour; Natalia Roth; Rooléh"
2300438;"Alex Kassian; Another Taste; Antal; Aurora Halal; BASHKKA; Bordello; Call Super; CARISTA; Cassy; Carlos Valdes"
2414655;"Young Marco; THC; DHC; Jennifer Loveless"
2420483;"1tbsp; Adiel; Quelza; Bambi (FR); Benga; Flowdan; Boys Noize; SALOME; Channel Tres; Busy P"
2409448;"Antdot; Avalon Emerson; Ben UFO; Benwal; Betical; Bibi Seck; Faisal; bullet tooth; Capoon; Catalina"
2400958;"&ME; Arapu; Call Super; Chloé Caillet; Konstantin; Luciano; Nicolas Lutz; O.BEE; Omar+; Priku"
2357461;"BASHKKA; OK Williams; Dj Babatr; Benwal; Carlos Valdes; CARISTA; Jyoty; dirtydms; Helmond Lang; Fafi Abdel Nour"
2422593;"ALISHA; Jamie Jones; Joseph Capriati; Loco Dice; Mark Broom; Octave One; Pan-Pot; Partiboi69; Sidney Charles; Traumer"
2292112;"Alex Kassian; Alfred Anders; AMORAL; Antal; BADSISTA; BASHKKA; Benji B; Binh; Vladimir Ivkovic; Blasha & Allatt"
2371039;"CamelPhat; Âme; Trikk; meera; Ewan McVicar; Young Marco; Ella Knight"
2364558;"Job Jobse; Courtesy; fka.m4a; Valeby; Schwesta P; Redfocks"
2454662;Job Jobse
2400948;"Aurora Halal; DJ Koze; DJ Tennis; FLETCH; JNJS; Job Jobse; Joss Dean; Miguelle; TONS; Mochakk"
2339461;"Aayna; Alycia Bezgo; NMSS; André Dancekowski; Arter; Ava Eva; VTT (BE); Ays (NL); Benwal; Bibi Seck"
2291895;"A For Alpha; Adam Curtain; Adi (CO); Alex Kassian; Andrija Mlacovic; Apiento; Aria Santillana; Armând; babyschön; Baldo"
2450200;"Laurent Garnier; Job Jobse; Roi Perez; GRETA (2); Kapote; Arpy Brown; Gee Lane; ALOT"
2458255;"Jane Fitz; Jeff Mills; Sampha; A Guy Called Gerald; Alex Wilcox; Ben UFO; Call Super; Objekt; Pariah; Benny Rodrigues"
2236226;"ALCATRAZ; Confidence Man; D. Tiffany; dj g2g; DJ Gigola; DJ Heartstring; HAAi; Helena Hauff; James Newmarch; Job Jobse"
2318797;"Aldonna; Alycia Bezgo; ØTTA; ANOTR; Ape Drums; Arter; séa (BE); Asian Sal; BASHKKA; BAVR"
2403796;"Alex Kassian; Eoin DJ; Jessica Nightlife; Job Jobse; LIA; limbic sis"
2465223;"Doudou MD; Emmz; Emvae; Moxes; Job Jobse; LAMMER; SAIDAH; Sam Alfred"
2442640;Job Jobse
2230598;"Patrice Bäumel; Nuno dos Santos; Acid Pauli; Ajuma; Alberta Balsam; Alec Dienaar; Altinbas; Âme; ATRIP; LAMMER"
2425980;"Anz; Bakey; bullet tooth; Camille Doe; Club Angel; DJ Cosworth; DJ Seinfeld; Dr Dubplate; Faster Horses; HAAi"
2367725;"Indira Paganotto; BEC; Steve Sai; DjSteph"
2392626;"Indira Paganotto; Héctor Oaks; Avalon Emerson; Helena Hauff; DJ Stingray 313; Sedef Adasï; Gabbs; PARAMIDA; Giammarco Orsini; DJ Senc"
2366979;"MËSTIZA; Les Castizos; Derun; Indira Paganotto; Chris Liebing; ONYVAA; Anna Unusyan"
